"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"183","E0",2013-12-28,"Hull","Fulham",6,0,"H",0,0,"D","R Madley"
"184","E0",2013-12-28,"Man City","Crystal Palace",1,0,"H",0,0,"D","A Marriner"
"185","E0",2013-12-28,"Norwich","Man United",0,1,"A",0,0,"D","P Dowd"
"186","E0",2013-12-28,"West Ham","West Brom",3,3,"D",1,2,"A","M Dean"
"187","E0",2013-12-29,"Chelsea","Liverpool",2,1,"H",2,1,"H","H Webb"
"188","E0",2013-12-29,"Everton","Southampton",2,1,"H",1,0,"H","M Clattenburg"
"189","E0",2013-12-29,"Newcastle","Arsenal",0,1,"A",0,0,"D","L Probert"
"190","E0",2013-12-29,"Tottenham","Stoke",3,0,"H",1,0,"H","K Friend"
"191","E0",2014-01-01,"Arsenal","Cardiff",2,0,"H",0,0,"D","J Moss"
"192","E0",2014-01-01,"Crystal Palace","Norwich",1,1,"D",1,1,"D","M Dean"
"193","E0",2014-01-01,"Fulham","West Ham",2,1,"H",1,1,"D","M Clattenburg"
"194","E0",2014-01-01,"Liverpool","Hull",2,0,"H",1,0,"H","C Pawson"
"195","E0",2014-01-01,"Man United","Tottenham",1,2,"A",0,1,"A","H Webb"
"196","E0",2014-01-01,"Southampton","Chelsea",0,3,"A",0,0,"D","M Atkinson"
"197","E0",2014-01-01,"Stoke","Everton",1,1,"D",0,0,"D","A Marriner"
"198","E0",2014-01-01,"Sunderland","Aston Villa",0,1,"A",0,1,"A","M Jones"
"199","E0",2014-01-01,"Swansea","Man City",2,3,"A",1,1,"D","P Dowd"
"200","E0",2014-01-01,"West Brom","Newcastle",1,0,"H",0,0,"D","L Mason"
"201","E0",2014-01-11,"Cardiff","West Ham",0,2,"A",0,1,"A","L Mason"
"202","E0",2014-01-11,"Everton","Norwich",2,0,"H",1,0,"H","K Friend"
"203","E0",2014-01-11,"Fulham","Sunderland",1,4,"A",0,2,"A","M Dean"
"204","E0",2014-01-11,"Hull","Chelsea",0,2,"A",0,0,"D","M Clattenburg"
"205","E0",2014-01-11,"Man United","Swansea",2,0,"H",0,0,"D","C Foy"
"206","E0",2014-01-11,"Southampton","West Brom",1,0,"H",0,0,"D","H Webb"
"207","E0",2014-01-11,"Tottenham","Crystal Palace",2,0,"H",0,0,"D","M Oliver"
"208","E0",2014-01-12,"Newcastle","Man City",0,2,"A",0,1,"A","M Jones"
"209","E0",2014-01-12,"Stoke","Liverpool",3,5,"A",2,2,"D","A Taylor"
"210","E0",2014-01-13,"Aston Villa","Arsenal",1,2,"A",0,2,"A","N Swarbrick"
"211","E0",2014-01-18,"Arsenal","Fulham",2,0,"H",0,0,"D","L Probert"
"212","E0",2014-01-18,"Crystal Palace","Stoke",1,0,"H",0,0,"D","M Clattenburg"
"213","E0",2014-01-18,"Liverpool","Aston Villa",2,2,"D",1,2,"A","J Moss"
"214","E0",2014-01-18,"Man City","Cardiff",4,2,"H",2,1,"H","N Swarbrick"
"215","E0",2014-01-18,"Norwich","Hull",1,0,"H",0,0,"D","H Webb"
"216","E0",2014-01-18,"Sunderland","Southampton",2,2,"D",1,2,"A","C Foy"
"217","E0",2014-01-18,"West Ham","Newcastle",1,3,"A",1,2,"A","A Marriner"
"218","E0",2014-01-19,"Chelsea","Man United",3,1,"H",2,0,"H","P Dowd"
"219","E0",2014-01-19,"Swansea","Tottenham",1,3,"A",0,1,"A","M Atkinson"
"220","E0",2014-01-20,"West Brom","Everton",1,1,"D",0,1,"A","M Oliver"
"221","E0",2014-01-28,"Crystal Palace","Hull",1,0,"H",1,0,"H","R East"
"222","E0",2014-01-28,"Liverpool","Everton",4,0,"H",3,0,"H","M Atkinson"
"223","E0",2014-01-28,"Man United","Cardiff",2,0,"H",1,0,"H","C Pawson"
"224","E0",2014-01-28,"Norwich","Newcastle",0,0,"D",0,0,"D","C Foy"
"225","E0",2014-01-28,"Southampton","Arsenal",2,2,"D",1,0,"H","L Mason"
"226","E0",2014-01-28,"Swansea","Fulham",2,0,"H",0,0,"D","M Oliver"
"227","E0",2014-01-29,"Aston Villa","West Brom",4,3,"H",3,3,"D","M Clattenburg"
"228","E0",2014-01-29,"Chelsea","West Ham",0,0,"D",0,0,"D","N Swarbrick"
"229","E0",2014-01-29,"Sunderland","Stoke",1,0,"H",1,0,"H","R Madley"
"230","E0",2014-01-29,"Tottenham","Man City",1,5,"A",0,1,"A","A Marriner"
"231","E0",2014-02-01,"Cardiff","Norwich",2,1,"H",0,1,"A","M Clattenburg"
"232","E0",2014-02-01,"Everton","Aston Villa",2,1,"H",0,1,"A","R Madley"
"233","E0",2014-02-01,"Fulham","Southampton",0,3,"A",0,0,"D","M Jones"
"234","E0",2014-02-01,"Hull","Tottenham",1,1,"D",1,0,"H","A Taylor"
"235","E0",2014-02-01,"Newcastle","Sunderland",0,3,"A",0,2,"A","P Dowd"
"236","E0",2014-02-01,"Stoke","Man United",2,1,"H",1,0,"H","N Swarbrick"
"237","E0",2014-02-01,"West Ham","Swansea",2,0,"H",2,0,"H","H Webb"
"238","E0",2014-02-02,"Arsenal","Crystal Palace",2,0,"H",0,0,"D","J Moss"
"239","E0",2014-02-02,"West Brom","Liverpool",1,1,"D",0,1,"A","K Friend"
"240","E0",2014-02-03,"Man City","Chelsea",0,1,"A",0,1,"A","M Dean"
"241","E0",2014-02-08,"Aston Villa","West Ham",0,2,"A",0,0,"D","M Dean"
"242","E0",2014-02-08,"Chelsea","Newcastle",3,0,"H",2,0,"H","H Webb"
"243","E0",2014-02-08,"Crystal Palace","West Brom",3,1,"H",2,0,"H","C Foy"
"244","E0",2014-02-08,"Liverpool","Arsenal",5,1,"H",4,0,"H","M Oliver"
"245","E0",2014-02-08,"Norwich","Man City",0,0,"D",0,0,"D","J Moss"
"246","E0",2014-02-08,"Southampton","Stoke",2,2,"D",2,2,"D","C Pawson"
"247","E0",2014-02-08,"Sunderland","Hull",0,2,"A",0,1,"A","M Jones"
"248","E0",2014-02-08,"Swansea","Cardiff",3,0,"H",0,0,"D","A Marriner"
"249","E0",2014-02-09,"Man United","Fulham",2,2,"D",0,1,"A","K Friend"
"250","E0",2014-02-09,"Tottenham","Everton",1,0,"H",0,0,"D","M Clattenburg"
"251","E0",2014-02-11,"Cardiff","Aston Villa",0,0,"D",0,0,"D","C Foy"
"252","E0",2014-02-11,"Hull","Southampton",0,1,"A",0,0,"D","M Atkinson"
"253","E0",2014-02-11,"West Brom","Chelsea",1,1,"D",0,1,"A","A Taylor"
"254","E0",2014-02-11,"West Ham","Norwich",2,0,"H",0,0,"D","M Oliver"
"255","E0",2014-02-12,"Arsenal","Man United",0,0,"D",0,0,"D","M Clattenburg"
"256","E0",2014-02-12,"Fulham","Liverpool",2,3,"A",1,1,"D","P Dowd"
"257","E0",2014-02-12,"Newcastle","Tottenham",0,4,"A",0,1,"A","N Swarbrick"
"258","E0",2014-02-12,"Stoke","Swansea",1,1,"D",1,0,"H","J Moss"
"259","E0",2014-02-22,"Arsenal","Sunderland",4,1,"H",3,0,"H","A Marriner"
"260","E0",2014-02-22,"Cardiff","Hull",0,4,"A",0,2,"A","H Webb"
"261","E0",2014-02-22,"Chelsea","Everton",1,0,"H",0,0,"D","L Probert"
"262","E0",2014-02-22,"Crystal Palace","Man United",0,2,"A",0,0,"D","M Oliver"
"263","E0",2014-02-22,"Man City","Stoke",1,0,"H",0,0,"D","C Foy"
"264","E0",2014-02-22,"West Brom","Fulham",1,1,"D",0,1,"A","M Dean"
"265","E0",2014-02-22,"West Ham","Southampton",3,1,"H",2,1,"H","M Clattenburg"
"266","E0",2014-02-23,"Liverpool","Swansea",4,3,"H",3,2,"H","M Jones"
"267","E0",2014-02-23,"Newcastle","Aston Villa",1,0,"H",0,0,"D","M Atkinson"
"268","E0",2014-02-23,"Norwich","Tottenham",1,0,"H",0,0,"D","C Pawson"
"269","E0",2014-03-01,"Everton","West Ham",1,0,"H",0,0,"D","J Moss"
"270","E0",2014-03-01,"Fulham","Chelsea",1,3,"A",0,0,"D","M Clattenburg"
"271","E0",2014-03-01,"Hull","Newcastle",1,4,"A",0,2,"A","K Friend"
"272","E0",2014-03-01,"Southampton","Liverpool",0,3,"A",0,1,"A","L Probert"
"273","E0",2014-03-01,"Stoke","Arsenal",1,0,"H",0,0,"D","M Jones"
"274","E0",2014-03-02,"Aston Villa","Norwich",4,1,"H",4,1,"H","A Taylor"
"275","E0",2014-03-02,"Swansea","Crystal Palace",1,1,"D",1,0,"H","M Dean"
"276","E0",2014-03-02,"Tottenham","Cardiff",1,0,"H",1,0,"H","P Dowd"
"277","E0",2014-03-08,"Cardiff","Fulham",3,1,"H",1,0,"H","M Atkinson"
"278","E0",2014-03-08,"Chelsea","Tottenham",4,0,"H",0,0,"D","M Oliver"
"279","E0",2014-03-08,"Crystal Palace","Southampton",0,1,"A",0,1,"A","H Webb"
"280","E0",2014-03-08,"Norwich","Stoke",1,1,"D",0,0,"D","A Marriner"
"281","E0",2014-03-08,"West Brom","Man United",0,3,"A",0,1,"A","J Moss"
"282","E0",2014-03-15,"Aston Villa","Chelsea",1,0,"H",0,0,"D","C Foy"
"283","E0",2014-03-15,"Everton","Cardiff",2,1,"H",0,0,"D","R East"
"284","E0",2014-03-15,"Fulham","Newcastle",1,0,"H",0,0,"D","H Webb"
"285","E0",2014-03-15,"Hull","Man City",0,2,"A",0,1,"A","L Mason"
"286","E0",2014-03-15,"Southampton","Norwich",4,2,"H",1,0,"H","K Friend"
"287","E0",2014-03-15,"Stoke","West Ham",3,1,"H",1,1,"D","C Pawson"
"288","E0",2014-03-15,"Sunderland","Crystal Palace",0,0,"D",0,0,"D","N Swarbrick"
"289","E0",2014-03-15,"Swansea","West Brom",1,2,"A",1,0,"H","M Atkinson"
"290","E0",2014-03-16,"Man United","Liverpool",0,3,"A",0,1,"A","M Clattenburg"
"291","E0",2014-03-16,"Tottenham","Arsenal",0,1,"A",0,1,"A","M Dean"
"292","E0",2014-03-22,"Cardiff","Liverpool",3,6,"A",2,2,"D","N Swarbrick"
"293","E0",2014-03-22,"Chelsea","Arsenal",6,0,"H",4,0,"H","A Marriner"
"294","E0",2014-03-22,"Everton","Swansea",3,2,"H",1,1,"D","M Oliver"
"295","E0",2014-03-22,"Hull","West Brom",2,0,"H",2,0,"H","C Foy"
"296","E0",2014-03-22,"Man City","Fulham",5,0,"H",1,0,"H","J Moss"
"297","E0",2014-03-22,"Newcastle","Crystal Palace",1,0,"H",0,0,"D","L Probert"
"298","E0",2014-03-22,"Norwich","Sunderland",2,0,"H",2,0,"H","P Dowd"
"299","E0",2014-03-22,"West Ham","Man United",0,2,"A",0,2,"A","L Mason"
